RECEPTOR,odorant,SMILES,output,Protein sequence
AgOr15,decanoic-acid,,2,
AgOr16,decanoic-acid,,0,
AgOr18,decanoic-acid,,4,
AgOr20,decanoic-acid,,-2,
AgOr21,decanoic-acid,,-1,
AgOr23,decanoic-acid,,0,
AgOr25,decanoic-acid,,1,
AgOr26,decanoic-acid,,-1,
AgOr27,decanoic-acid,,-1,
AgOr30,decanoic-acid,,1,
AgOr31,decanoic-acid,,3,
AgOr32,decanoic-acid,,1,
AgOr33,decanoic-acid,,-3,
AgOr35,decanoic-acid,,-3,
AgOr38,decanoic-acid,,0,
AgOr39,decanoic-acid,,1,
AgOr41,decanoic-acid,,-1,
AgOr42,decanoic-acid,,0,
AgOr43,decanoic-acid,,-11,
AgOr44,decanoic-acid,,3,
AgOr45,decanoic-acid,,-3,
AgOr46,decanoic-acid,,1,
AgOr48,decanoic-acid,,1,
AgOr50,decanoic-acid,,9,
AgOr53,decanoic-acid,,1,
AgOr54,decanoic-acid,,-2,
AgOr56,decanoic-acid,,2,
AgOr57,decanoic-acid,,6,
AgOr59,decanoic-acid,,-3,
AgOr61,decanoic-acid,,-1,
AgOr63,decanoic-acid,,-2,
AgOr64,decanoic-acid,,1,
AgOr65,decanoic-acid,,-6,
AgOr66,decanoic-acid,,2,
AgOr67,decanoic-acid,,0,
AgOr73,decanoic-acid,,-2,
AgOr75,decanoic-acid,,-1,
AgOr76,decanoic-acid,,2,
AgOr1,dodecanoic-acid,,-1,
AgOr2,dodecanoic-acid,,-3,
AgOr3,dodecanoic-acid,,3,
AgOr4,dodecanoic-acid,,2,
AgOr5,dodecanoic-acid,,3,
AgOr6,dodecanoic-acid,,0,
AgOr8,dodecanoic-acid,,-1,
AgOr9,dodecanoic-acid,,-3,
AgOr10,dodecanoic-acid,,-1,
AgOr11,dodecanoic-acid,,-2,
AgOr12,dodecanoic-acid,,1,
AgOr13,dodecanoic-acid,,-2,
AgOr15,dodecanoic-acid,,3,
AgOr16,dodecanoic-acid,,3,
AgOr18,dodecanoic-acid,,5,
AgOr20,dodecanoic-acid,,3,
AgOr21,dodecanoic-acid,,0,
AgOr23,dodecanoic-acid,,2,
AgOr25,dodecanoic-acid,,1,
AgOr26,dodecanoic-acid,,1,
AgOr27,dodecanoic-acid,,2,
AgOr30,dodecanoic-acid,,1,
AgOr31,dodecanoic-acid,,1,
AgOr32,dodecanoic-acid,,0,
AgOr33,dodecanoic-acid,,1,
AgOr35,dodecanoic-acid,,1,
AgOr38,dodecanoic-acid,,2,
AgOr39,dodecanoic-acid,,-1,
AgOr41,dodecanoic-acid,,0,
AgOr42,dodecanoic-acid,,0,
AgOr43,dodecanoic-acid,,3,
AgOr44,dodecanoic-acid,,0,
AgOr45,dodecanoic-acid,,1,
AgOr46,dodecanoic-acid,,4,
AgOr48,dodecanoic-acid,,-1,
AgOr50,dodecanoic-acid,,7,
AgOr53,dodecanoic-acid,,2,
AgOr54,dodecanoic-acid,,0,
AgOr56,dodecanoic-acid,,4,
AgOr57,dodecanoic-acid,,2,
AgOr59,dodecanoic-acid,,-2,
AgOr61,dodecanoic-acid,,0,
AgOr63,dodecanoic-acid,,-1,
AgOr64,dodecanoic-acid,,0,
AgOr65,dodecanoic-acid,,3,
AgOr66,dodecanoic-acid,,2,
AgOr67,dodecanoic-acid,,1,
AgOr73,dodecanoic-acid,,2,
AgOr75,dodecanoic-acid,,1,
AgOr76,dodecanoic-acid,,-3,
AgOr1,tridecanoic-acid,,-5,
AgOr2,tridecanoic-acid,,-2,
AgOr3,tridecanoic-acid,,5,
AgOr4,tridecanoic-acid,,1,
AgOr5,tridecanoic-acid,,-1,
AgOr6,tridecanoic-acid,,3,
AgOr8,tridecanoic-acid,,1,
